"","Div.Name","School.Name","Native.Hawaiian.pct","White.pct","Two.or.more.races.pct","Hispanic.pct","American.Indian.pct","Black.pct","X2013.2014.Pass.Rate","X2014.2015.Pass.Rate","X2015.2016.Pass.Rate","School.Accreditation.Rating","English","Met.English","Mathematics","Met.Mathematics","History","Met.History","Science","Met.Science","Total..Full.time...Part.time.Students","FY.2014..Actual.Average.Teacher.Salary","FY.2015..Actual.Average.Teacher.Salary","FY.2016..Budgeted.Average.Teacher.Salary","Democratic.pct","Truancy.pct"
"18","accomack county","TANGIER COMBINED",0,1,0,0,0,0,76,74,63,"Fully Accredited",81,"Yes",76,"Yes",97,"Yes",80,"Yes",8,40949,43712,44385,0.482417443912276,0.00442825112107623
"119","accomack county","CHINCOTEAGUE HIGH",0,0.804347826086957,0,0.0652173913043478,0,0.108695652173913,83,87,84,"Fully Accredited",88,"Yes",88,"Yes",82,"Yes",83,"Yes",46,40949,43712,44385,0.482417443912276,0.00442825112107623
"132","accomack county","NANDUA HIGH",0,0.469135802469136,0.00617283950617284,0.111111111111111,0.00617283950617284,0.407407407407407,83,76,81,"Fully Accredited",81,"Yes",77,"Yes",75,"Yes",83,"Yes",162,40949,43712,44385,0.482417443912276,0.00442825112107623
"174","accomack county","ARCADIA HIGH",0,0.465277777777778,0.0208333333333333,0.145833333333333,0,0.375,79,75,76,"Fully Accredited",82,"Yes",76,"Yes",78,"Yes",77,"Yes",144,40949,43712,44385,0.482417443912276,0.00442825112107623
"227","albemarle county","WESTERN ALBEMARLE HIGH",0,0.867132867132867,0.041958041958042,0.0699300699300699,0,0.034965034965035,83,81,82,"Fully Accredited",95,"Yes",80,"Yes",92,"Yes",91,"Yes",286,54586,54449,54907,0.560881366155238,0.00255913144629701
"267","albemarle county","ALBEMARLE HIGH",0.00214132762312634,0.648822269807281,0.0385438972162741,0.134903640256959,0,0.147751605995717,75,75,73,"Fully Accredited",92,"Yes",76,"Yes",88,"Yes",84,"Yes",467,54586,54449,54907,0.560881366155238,0.00255913144629701
"288","albemarle county","MURRAY HIGH",0,0.695652173913043,0,0,0.0434782608695652,0.260869565217391,91,71,78,"Fully Accredited",96,"Yes",81,"Yes",76,"Yes",84,"Yes",23,54586,54449,54907,0.560881366155238,0.00255913144629701
"359","alexandria city","TC WILLIAMS HIGH",0.00132802124833997,0.256308100929615,0.00929614873837981,0.314741035856574,0.00132802124833997,0.366533864541833,60,66,59,"Fully Accredited",86,"Yes",72,"Yes",79,"Yes",76,"Yes",753,72942,73675,75604,0.720502981448763,0.0439840637450199
"402","alleghany county","ALLEGHANY HIGH",0,0.869955156950673,0.0269058295964126,0.0448430493273543,0,0.0852017937219731,67,74,74,"Fully Accredited",87,"Yes",75,"Yes",85,"Yes",83,"Yes",223,47477,48507,49427,0.486281794798514,0.00538116591928251
"440","amelia county","AMELIA COUNTY HIGH",0,0.794871794871795,0.0192307692307692,0.0256410256410256,0,0.179487179487179,73,79,79,"Fully Accredited",84,"Yes",80,"Yes",86,"Yes",80,"Yes",156,49019,49150,49450,0.36504911303328,0.00205128205128205
"493","amherst county","AMHERST COUNTY HIGH",0,0.685185185185185,0.0308641975308642,0.0679012345679012,0.00925925925925926,0.228395061728395,78,80,70,"Fully Accredited",81,"Yes",80,"Yes",79,"Yes",83,"Yes",324,45527,45111,46810,0.399296155928533,0.0159259259259259
"529","appomattox county","APPOMATTOX COUNTY HIGH",0,0.641025641025641,0.0897435897435897,0.102564102564103,0,0.25,66,73,91,"Fully Accredited",92,"Yes",74,"Yes",85,"Yes",85,"Yes",156,39904,38949,39559,0.31476966508405,0.0106837606837607
"614","arlington county","ARLINGTON MILL HIGH ",0,0.0174672489082969,0,0.851528384279476,0.0131004366812227,0.0524017467248908,43,63,71,"Fully Accredited",94,"Yes",78,"Yes",80,"Yes",90,"Yes",229,73846,74534,74613,0.702150454023137,0.00129300118623962
"634","arlington county","YORKTOWN HIGH",0,0.652631578947368,0.0505263157894737,0.191578947368421,0.00631578947368421,0.0610526315789474,87,90,87,"Fully Accredited",95,"Yes",92,"Yes",94,"Yes",93,"Yes",475,73846,74534,74613,0.702150454023137,0.00129300118623962
"696","arlington county","WAKEFIELD HIGH",0,0.186761229314421,0.0425531914893617,0.472813238770686,0,0.264775413711584,77,84,82,"Fully Accredited",85,"Yes",85,"Yes",86,"Yes",87,"Yes",423,73846,74534,74613,0.702150454023137,0.00129300118623962
"768","arlington county","WASHINGTON LEE HIGH",0,0.456171735241503,0.0500894454382826,0.325581395348837,0.0035778175313059,0.116279069767442,84,88,86,"Fully Accredited",92,"Yes",90,"Yes",90,"Yes",90,"Yes",559,73846,74534,74613,0.702150454023137,0.00129300118623962
"805","augusta county","FT DEFIANCE HIGH",0,0.864583333333333,0.0520833333333333,0.135416666666667,0,0,85,86,86,"Fully Accredited",86,"Yes",87,"Yes",88,"Yes",82,"Yes",192,47061,48602,47897,0.285744520030234,0.0216514970970768
