Virginia Department of Education,,,,,,,,,,,,,,,,,,,,,
"2015-2016 Student Membership by School (Grade, Ethnicity, & Gender)",,,,,,,,,,,,,,,,,,,,,
(11/18/2015),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Division No.,Division Name,School No.,School Name,Grade,Hispanic/ of any Race Male,Hispanic/ of any Race Female,"American Indian/Alaska Native 
Male","American Indian/Alaska Native 
Female",Asian Male,Asian Female,Black or African American Male,Black or African American Female,"Native Hawaiian/
Pacific Islander 
Male","Native Hawaiian/
Pacific Islander Female","White
Male",White Female,"Two or more races  (Non-Hispanic)
Male","Two or more races (Non-Hispanic)
Female","Total
Full-time Students",Part-time Students,"Total 
Full-time & Part-time Students"
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,1,13,18,0,0,2,1,24,13,0,0,12,14,0,0,97,0,97
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,2,14,12,0,0,1,1,17,21,0,0,16,18,0,0,100,0,100
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,3,16,3,0,0,0,2,8,15,0,0,10,16,0,0,70,0,70
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,4,15,19,0,0,0,0,15,18,0,0,24,11,1,0,103,0,103
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,5,16,17,0,0,2,0,15,7,0,0,17,16,0,0,90,0,90
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,KG,9,19,0,0,0,1,24,16,0,1,8,13,0,0,91,0,91
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,PK,8,11,0,0,1,0,3,6,0,0,1,1,0,0,31,0,31
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,9,19,22,0,0,0,2,40,48,0,0,37,28,0,1,197,0,197
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,10,26,17,0,0,2,0,29,35,0,0,30,25,0,0,164,0,164
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,11,7,11,0,0,1,3,15,25,0,0,26,25,1,0,114,0,114
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,12,12,6,0,0,0,2,33,21,0,0,33,34,1,2,144,0,144
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,PG,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,6,22,17,0,0,1,0,41,30,0,0,32,25,1,1,170,0,170
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,7,16,16,0,0,1,1,46,23,0,0,29,31,1,2,166,0,166
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,8,21,23,0,0,0,1,30,35,0,0,27,22,1,0,160,0,160
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,1,0,1,0,0,0,0,1,4,0,0,19,14,1,0,40,0,40
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,2,0,0,0,0,0,0,2,4,0,0,25,15,0,0,46,0,46
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,3,0,3,0,0,0,0,2,3,0,0,18,11,0,1,38,0,38
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,4,0,0,0,0,0,0,5,4,0,0,18,21,0,0,48,0,48
