Division No,Division name ,Truancy Count,,
1,Accomack County ,79,,
2,Albemarle County ,99,,
101,Alexandria City ,1656,,
3,Alleghany County ,60,,
4,Amelia County ,16,,
5,Amherst County ,258,,
6,Appomattox County ,80,,
7,Arlington County ,109,,
8,Augusta County ,854,,
10,Bedford County 1,256,,
11,Bland County ,46,,
102,Bristol City ,121,,
13,Brunswick County ,48,,
14,Buchanan County ,532,,
15,Buckingham County ,32,,
103,Buena Vista City ,20,,
16,Campbell County ,260,,
17,Caroline County ,210,,
18,Carroll County ,299,,
19,Charles City County ,36,,
104,Charlottesville City ,217,,
136,Chesapeake City ,3084,,
21,Chesterfield County ,1103,,
22,Clarke County ,46,,
202,Colonial Beach ,3,,
106,Colonial Heights City ,115,,
107,Covington City ,29,,
23,Craig County ,9,,
24,Culpeper County ,444,,
25,Cumberland County ,127,,
108,Danville City ,310,,
26,Dickenson County ,253,,
27,Dinwiddie County ,27,,
29,Fairfax County 2,855,,
109,Falls Church City ,11,,
30,Fauquier County ,194,,
31,Floyd County ,206,,
32,Fluvanna County ,19,,
33,Franklin County ,14,,
34,Frederick County ,44,,
110,Fredericksburg City ,228,,
111,Galax City ,799,,
35,Giles County ,6,,
37,Goochland County ,40,,
38,Grayson County ,29,,
39,Greene County ,16,,
40,Greensville County 3,82,,
41,Halifax County ,1631,,
112,Hampton City ,3913,,
42,Hanover County ,156,,
113,Harrisonburg City ,121,,
43,Henrico County ,2899,,
44,Henry County ,422,,
114,Hopewell City ,38,,
46,Isle of Wight County ,2,,
48,King George County ,155,,
50,King William County ,131,,
51,Lancaster County ,24,,
52,Lee County ,144,,
53,Loudoun County ,117,,
54,Louisa County ,68,,
55,Lunenburg County ,39,,
115,Lynchburg City ,693,,
56,Madison County ,84,,
143,Manassas City ,317,,
144,Manassas Park City ,97,,
116,Martinsville City ,186,,
57,Mathews County ,90,,
58,Mecklenburg County ,17,,
59,Middlesex County ,13,,
60,Montgomery County ,370,,
62,Nelson County ,35,,
63,New Kent County ,74,,
117,Newport News City ,1257,,
118,Norfolk City ,1033,,
65,Northampton County ,88,,
66,Northumberland County ,121,,
119,Norton City ,191,,
67,Nottoway County ,127,,
68,Orange County ,471,,
69,Page County ,524,,
70,Patrick County ,257,,
120,Petersburg City ,772,,
71,Pittsylvania County ,444,,
142,Poquoson City ,40,,
121,Portsmouth City ,179,,
72,Powhatan County ,19,,
73,Prince Edward County ,88,,
74,Prince George County ,113,,
75,Prince William County ,1165,,
77,Pulaski County ,479,,
122,Radford City ,11,,
78,Rappahannock County ,83,,
123,Richmond City ,6946,,
79,Richmond County ,11,,
124,Roanoke City ,3509,,
80,Roanoke County ,621,,
81,Rockbridge County ,50,,
82,Rockingham County ,143,,
83,Russell County ,486,,
139,Salem City ,4,,
84,Scott County ,339,,
85,Shenandoah County ,587,,
86,Smyth County ,340,,
87,Southampton County ,19,,
88,Spotsylvania County ,11,,
89,Stafford County ,204,,
126,Staunton City ,2,,
127,Suffolk City ,185,,
90,Surry County ,10,,
91,Sussex County ,135,,
92,Tazewell County ,619,,
128,Virginia Beach City ,207,,
93,Warren County ,1344,,
94,Washington County ,204,,
130,Waynesboro City ,110,,
207,West Point ,1,,
95,Westmoreland County ,72,,
131,Williamsburg-James City County 4,242,,
132,Winchester City ,51,,
96,Wise County ,533,,
97,Wythe County ,376,,
98,York County ,251,,
,State Total,"50,291",,
,,,,
1Bedford County data include Bedford City.,,,,
2Fairfax County data include Fairfax City.,,,,
3Greensville County data include Emporia City.,,,,
4Williamsburg City data include James City County.,,,,
